都道府県,市区町村,町名,丁目,番地,号,建物名,価格,最寄駅,物件タイプ,敷地面積
大阪府,豊中市,千里中央,6,29,11,東京ミッドタウン,10326940,高槻駅,アパート,2649
埼玉県,川口市,西川口,8,2,11,日比谷国際ビル,81287680,新座駅,アパート,2403
神奈川県,横浜市,新横浜,3,5,19,東京ソラマチ,13739540,横須賀中央駅,アパート,4841
千葉県,千葉市,蘇我,1,30,14,赤坂サカス,76392490,新浦安駅,オフィスビル,3838
愛知県,岡崎市,北岡崎,10,26,17,羽田イノベーションシティ,68263100,金山駅,アパート,4943
千葉県,市川市,市川,3,6,4,東京サンケイビル,61353880,幕張駅,アパート,4687
東京都,渋谷区,代官山,4,18,12,浅草文化観光センター,61094520,高田馬場駅,一戸建て,1141
埼玉県,さいたま市,浦和美園,6,25,13,東京ドームシティ,44903810,北朝霞駅,一戸建て,2242
愛知県,豊田市,上豊田,1,10,1,大手町フィナンシャルシティ,79065050,名古屋駅,オフィスビル,1800
福岡県,久留米市,北野,5,26,9,東京交通会館,76171250,折尾駅,一戸建て,517
埼玉県,川口市,西川口,2,9,8,新宿三井ビルディング,33950600,北朝霞駅,マンション,4916
千葉県,船橋市,北習志野,2,5,16,池袋サンシャインシティ,33806350,本八幡駅,オフィスビル,514
千葉県,船橋市,北習志野,3,11,16,東京エレクトロンホール宮城,58726210,南柏駅,アパート,4751
愛知県,岡崎市,美合,8,10,9,六本木グランドタワー,64159920,豊田市駅,一戸建て,1967
東京都,新宿区,西新宿,9,3,12,東急プラザ表参道原宿,84115490,六本木駅,オフィスビル,3443
埼玉県,さいたま市,浦和美園,1,10,16,虎ノ門ツインビルディング,84924670,和光市駅,一戸建て,3274
福岡県,飯塚市,天道,7,9,11,六本木グランドタワー,92994610,折尾駅,店舗,1310
福岡県,大牟田市,三池,8,2,2,渋谷ヒカリエ,91043780,赤坂駅,マンション,2182
愛知県,春日井市,高蔵寺,7,21,14,テレビ朝日本社ビル,63038410,新瀬戸駅,アパート,4252
愛知県,名古屋市,名古屋駅,9,7,19,秋葉原UDX,83698560,金山駅,アパート,830
東京都,港区,芝,6,18,11,日比谷国際ビル,50202740,大崎駅,店舗,2288
東京都,千代田区,神田,1,9,9,東京ドームシティ,53479440,立川駅,マンション,3942
埼玉県,川越市,川越,6,8,19,渋谷マークシティ,99331560,北朝霞駅,一戸建て,2697
埼玉県,川口市,鳩ヶ谷,5,19,4,東京ビッグサイト,67375680,熊谷駅,アパート,1683
千葉県,市川市,妙典,2,12,8,日本橋高島屋三井ビルディング,82806250,幕張駅,マンション,1960
東京都,中央区,日本橋,8,14,16,大手町フィナンシャルシティ,76248100,大崎駅,マンション,2637
千葉県,市川市,妙典,1,9,11,東京ガーデンテラス紀尾井町,91327220,南柏駅,マンション,4443
大阪府,大阪市北区,扇町,1,10,5,表参道ヒルズ,62385660,本町駅,アパート,2874
福岡県,久留米市,久留米,8,3,11,汐留シティセンター,76130100,香椎駅,マンション,3042
東京都,千代田区,丸の内,3,6,18,大手町フィナンシャルシティ,83064350,新橋駅,アパート,2481
福岡県,福岡市,姪浜,9,27,15,東急プラザ表参道原宿,15904930,天神駅,マンション,1639
埼玉県,所沢市,小手指,8,11,1,渋谷マークシティ,43121010,新座駅,オフィスビル,2822
大阪府,大阪市中央区,心斎橋,3,20,5,秋葉原ダイビル,13515170,高槻駅,店舗,674
東京都,中央区,銀座,1,28,2,恵比寿ガーデンプレイス,52979640,代々木駅,店舗,509
埼玉県,越谷市,大袋,2,1,7,国立競技場,52891880,志木駅,オフィスビル,2248
福岡県,福岡市,博多,8,26,18,六本木グランドタワー,76313870,西鉄久留米駅,店舗,3958
神奈川県,藤沢市,湘南台,7,18,5,グラントウキョウノースタワー,80597220,登戸駅,マンション,1571
大阪府,大阪市中央区,堺筋本町,4,8,3,浅草文化観光センター,61398820,北千里駅,店舗,965
埼玉県,川口市,川口,3,22,13,品川シーサイド,66778500,志木駅,マンション,3184
千葉県,柏市,北柏,8,26,18,銀座シックス,61721700,稲毛駅,一戸建て,3013
千葉県,船橋市,北習志野,8,16,3,世界貿易センタービル,49016770,柏駅,マンション,3204
愛知県,名古屋市,大須,9,18,12,六本木グランドタワー,86128130,大曽根駅,店舗,1217
東京都,千代田区,丸の内,1,2,13,東京駅丸の内駅舎,86961540,大崎駅,マンション,4521
神奈川県,藤沢市,藤沢,3,23,8,キャピタルゲートプレイス,47003780,横浜駅,一戸建て,1948
大阪府,大阪市中央区,本町,7,29,4,東京国際フォーラム,75292910,高槻駅,オフィスビル,1960
福岡県,飯塚市,鯰田,7,14,2,東京タワー,20257780,西鉄柳川駅,アパート,2983
埼玉県,川口市,川口,8,13,19,東京ガーデンテラス紀尾井町,57733100,武蔵浦和駅,アパート,3411
愛知県,名古屋市,金山,8,21,4,丸ビル,95254880,春日井駅,オフィスビル,842
埼玉県,川越市,霞ヶ関,2,29,20,東京エレクトロンホール宮城,42528700,川越駅,オフィスビル,2800
福岡県,大牟田市,勝立,2,3,5,永田町グリッド,90522420,姪浜駅,マンション,2623
埼玉県,越谷市,北越谷,8,21,16,東京スクエアガーデン,52241550,南浦和駅,アパート,4382
東京都,港区,白金,5,19,9,表参道ヒルズ,77713140,代々木駅,アパート,519
千葉県,船橋市,三咲,1,22,18,丸の内オアゾ,18569200,東松戸駅,アパート,2233
東京都,渋谷区,代々木,1,11,15,新宿野村ビル,21812520,渋谷駅,一戸建て,210
愛知県,春日井市,勝川,8,24,7,東京国際フォーラム,72536590,三河安城駅,一戸建て,2238
埼玉県,川越市,古谷,3,4,7,明治生命館,42101590,浦和駅,店舗,2460
愛知県,春日井市,味美,5,3,13,大手町プレイス,36101400,大曽根駅,店舗,3209
千葉県,柏市,北柏,1,14,7,アークヒルズ仙石山森タワー,46294990,船橋駅,店舗,1022
埼玉県,川口市,蕨,2,3,15,虎ノ門ヒルズ,19772260,熊谷駅,マンション,335
千葉県,船橋市,津田沼,4,27,12,明治生命館,61148570,東松戸駅,店舗,3654
東京都,港区,赤坂,5,11,7,東京エレクトロンホール宮城,76862090,大崎駅,オフィスビル,1213
神奈川県,藤沢市,善行,2,16,11,新宿野村ビル,35172210,藤沢駅,マンション,1960
愛知県,一宮市,尾張一宮,9,17,18,アーバンドック ららぽーと豊洲,74497450,栄駅,アパート,4050
愛知県,名古屋市,千種,2,6,12,パレスホテル東京,32003940,三河安城駅,一戸建て,285
大阪府,吹田市,吹田,9,21,8,新宿野村ビル,20574090,茨木駅,店舗,2770
大阪府,豊中市,曽根,1,30,16,浅草文化観光センター,97498480,難波駅,アパート,2712
埼玉県,川越市,新河岸,6,7,6,恵比寿プライムスクエアタワー,24843040,和光市駅,アパート,294
埼玉県,川口市,鳩ヶ谷,8,28,10,池袋サンシャインシティ,11698250,新所沢駅,マンション,2581
福岡県,飯塚市,鯰田,3,18,20,浅草文化観光センター,96770480,大橋駅,店舗,4624
埼玉県,所沢市,西所沢,7,9,1,丸ビル,14792120,東松山駅,オフィスビル,2328
埼玉県,川口市,西川口,9,24,18,秋葉原UDX,56099920,所沢駅,アパート,3879
埼玉県,所沢市,新所沢,1,16,3,国立代々木競技場,44327060,鳩ヶ谷駅,マンション,85
東京都,渋谷区,原宿,2,20,9,羽田イノベーションシティ,65305940,品川駅,アパート,2436
福岡県,北九州市,八幡,10,26,4,赤坂Bizタワー,12950320,小倉駅,マンション,734
大阪府,大阪市中央区,難波,7,2,12,池袋サンシャインシティ,97745660,淀屋橋駅,アパート,4279
愛知県,岡崎市,美合,7,9,13,アークヒルズ,75923080,新瀬戸駅,一戸建て,3228
埼玉県,さいたま市,岩槻,6,11,11,丸の内オアゾ,42308130,川口駅,一戸建て,1742
大阪府,豊中市,千里中央,4,10,2,天王洲アイル,41038150,江坂駅,オフィスビル,3000
埼玉県,所沢市,小手指,5,17,14,新宿住友ビル,57466300,北越谷駅,店舗,2539
愛知県,岡崎市,美合,7,13,9,日本橋三井タワー,93721550,大府駅,アパート,1453
愛知県,春日井市,春日井,6,25,19,汐留シティセンター,99939420,瀬戸駅,一戸建て,141
神奈川県,横浜市,みなとみらい,7,13,5,東京芸術劇場,56053790,小田原駅,マンション,2058
東京都,中央区,月島,1,22,13,霞が関ビルディング,83174690,立川駅,オフィスビル,4805
大阪府,大阪市中央区,難波,4,21,12,恵比寿ガーデンプレイス,43818460,新大阪駅,一戸建て,1687
大阪府,堺市,堺東,8,8,9,東京宝塚ビル,56514390,本町駅,オフィスビル,1238
埼玉県,越谷市,せんげん台,1,19,20,丸の内ブリックスクエア,44721750,所沢駅,アパート,4099
福岡県,福岡市,博多,2,2,13,東京交通会館,10153220,箱崎駅,一戸建て,3629
大阪府,大阪市北区,梅田,2,18,19,赤坂サカス,22699480,なんば駅,マンション,3006
埼玉県,越谷市,大袋,9,6,15,東京宝塚ビル,45764690,大宮駅,一戸建て,2363
東京都,中央区,八丁堀,8,11,7,アトレ恵比寿,67921550,東京駅,一戸建て,2691
埼玉県,所沢市,小手指,5,29,17,東京エレクトロンホール宮城,36343930,東松山駅,マンション,3681
神奈川県,茅ヶ崎市,辻堂西海岸,4,7,1,新宿住友ビル,70754210,武蔵小杉駅,アパート,1664
埼玉県,越谷市,北越谷,3,22,5,豊洲市場,36884990,さいたま新都心駅,オフィスビル,2650
神奈川県,川崎市,新百合ヶ丘,6,12,11,大手町フィナンシャルシティ,94436620,鶴見駅,アパート,2238
福岡県,大牟田市,大牟田,6,10,17,汐留シオサイト,63060340,西新駅,アパート,1620
東京都,港区,白金,2,19,20,晴海トリトンスクエア,71513640,八王子駅,マンション,4675
大阪府,堺市,中百舌鳥,9,1,11,二子玉川ライズ,63625440,心斎橋駅,一戸建て,2989
福岡県,飯塚市,飯塚,8,19,3,東京エレクトロンホール宮城,47452520,西新駅,マンション,118
千葉県,市川市,市川,2,22,6,東急プラザ表参道原宿,95285880,千葉駅,オフィスビル,3628
福岡県,久留米市,善導寺,2,9,9,代々木ゼミナール本館,29141080,門司港駅,店舗,4781
福岡県,北九州市,八幡,9,22,10,文京シビックセンター,25079180,行橋駅,マンション,74
大阪府,大阪市中央区,堺筋本町,1,9,3,東京スクエアガーデン,32425950,梅田駅,マンション,4973
千葉県,千葉市,幕張,4,6,19,永田町グリッド,60328520,稲毛駅,マンション,2873
大阪府,豊中市,庄内,9,29,4,池袋サンシャインシティ,85254470,本町駅,アパート,974
福岡県,飯塚市,菰田,7,13,19,東京タワー,19429720,薬院駅,オフィスビル,3838
東京都,港区,六本木,5,19,1,新宿三井ビルディング,18936740,代々木駅,マンション,3201
大阪府,豊中市,千里中央,2,24,10,文京シビックセンター,10228360,鶴橋駅,マンション,3491
愛知県,春日井市,高蔵寺,1,25,18,東京スクエアガーデン,38169510,栄駅,アパート,226
福岡県,飯塚市,菰田,1,9,14,丸の内パークビルディング,39668170,直方駅,オフィスビル,421
神奈川県,横浜市,関内,8,11,10,丸の内パークビルディング,72659400,川崎駅,店舗,3061
愛知県,名古屋市,大須,4,18,4,ミッドタウン日比谷,61142800,刈谷駅,オフィスビル,1159
神奈川県,横浜市,戸塚,5,28,8,アークヒルズ仙石山森タワー,34761990,溝の口駅,アパート,4465
千葉県,船橋市,北習志野,5,23,18,東京ドーム,83294270,市川駅,オフィスビル,4445
埼玉県,越谷市,せんげん台,8,25,1,世界貿易センタービル,37109890,北越谷駅,一戸建て,3933
福岡県,飯塚市,新飯塚,7,23,2,渋谷ヒカリエ,18953840,赤坂駅,一戸建て,4538
福岡県,北九州市,八幡,6,21,10,文京シビックセンター,66496480,香椎駅,マンション,2574
千葉県,松戸市,新松戸,1,20,7,汐留メディアタワー,55675360,稲毛駅,アパート,3686
福岡県,久留米市,久留米,10,20,12,キャロットタワー,76791530,香椎駅,オフィスビル,3013
千葉県,千葉市,蘇我,9,17,5,新宿センタービル,32090940,津田沼駅,一戸建て,1570
神奈川県,藤沢市,江ノ島,9,3,15,丸の内オアゾ,47714740,戸塚駅,オフィスビル,1473
大阪府,大阪市中央区,本町,4,11,11,グランパークタワー,68465170,なんば駅,オフィスビル,4779
福岡県,大牟田市,三池,9,10,2,東京ソラマチ,72874310,折尾駅,店舗,4977
埼玉県,所沢市,小手指,7,27,15,グラントウキョウノースタワー,20919930,朝霞台駅,オフィスビル,4316
東京都,渋谷区,代々木,8,3,17,赤坂インターシティAIR,82051520,立川駅,オフィスビル,869
千葉県,船橋市,船橋,1,10,10,サンシャイン60,80795700,新浦安駅,オフィスビル,2744
東京都,渋谷区,代官山,9,27,18,東京交通会館,97779820,三鷹駅,店舗,2496
福岡県,大牟田市,銀水,9,24,7,東京ドームシティ,80384220,大橋駅,マンション,2317
福岡県,北九州市,八幡,9,22,17,大手町フィナンシャルシティ,97936700,直方駅,マンション,3772
大阪府,大阪市中央区,谷町,2,9,13,新丸の内ビルディング,73250020,梅田駅,店舗,4632
神奈川県,横浜市,青葉台,1,26,20,東京ワールドゲート,29331310,戸塚駅,マンション,828
愛知県,岡崎市,北岡崎,10,28,18,東京スカイツリー,95714940,豊橋駅,店舗,2197
福岡県,北九州市,黒崎,5,19,3,晴海トリトンスクエア,47337000,西鉄福岡駅,オフィスビル,2281
大阪府,大阪市北区,天満,6,14,8,有明ガーデン,91657510,天王寺駅,アパート,376
東京都,港区,芝,6,1,8,品川インターシティ,66493680,高田馬場駅,アパート,4267
神奈川県,藤沢市,湘南台,5,28,13,東京オペラシティ,90006770,二俣川駅,アパート,1877
千葉県,松戸市,松戸,10,24,15,赤坂インターシティAIR,82308350,津田沼駅,マンション,3161
大阪府,大阪市北区,中之島,4,12,5,国立新美術館,35277840,岸和田駅,店舗,3963
大阪府,豊中市,千里中央,8,22,14,新宿野村ビル,19305730,なんば駅,店舗,328
大阪府,豊中市,千里中央,4,13,5,文京シビックセンター,68559360,なんば駅,マンション,1815
愛知県,名古屋市,金山,2,8,7,日本橋三井タワー,40429310,鳴海駅,マンション,3075
神奈川県,川崎市,溝の口,6,29,7,天王洲アイル,62656060,鶴見駅,アパート,4188
千葉県,松戸市,八柱,8,15,20,銀座シックス,67260470,南船橋駅,アパート,4406
大阪府,豊中市,服部,5,24,8,キャピタルゲートプレイス,20390630,茨木駅,一戸建て,1640
東京都,中央区,築地,6,24,16,虎ノ門ヒルズ,95455230,立川駅,オフィスビル,3192
埼玉県,さいたま市,浦和,9,30,15,明治生命館,60034820,所沢駅,店舗,2918
神奈川県,横須賀市,田浦,4,8,11,新宿パークタワー,18170770,小田原駅,一戸建て,4477
福岡県,久留米市,久留米,7,11,15,霞が関ビルディング,55907640,香椎駅,アパート,1896
埼玉県,所沢市,狭山ヶ丘,4,25,5,日比谷国際ビル,80852960,新所沢駅,一戸建て,4083
埼玉県,さいたま市,与野,1,9,3,代々木ゼミナール本館,33125460,川越駅,オフィスビル,2610
愛知県,岡崎市,美合,3,11,17,日本テレビタワー,83492300,豊田市駅,店舗,4006
埼玉県,川口市,蕨,1,6,11,渋谷マークシティ,99890280,新座駅,マンション,4443
東京都,新宿区,新宿,9,5,5,東京スカイツリー,33954960,渋谷駅,アパート,2949
埼玉県,川口市,東川口,2,4,18,東京芸術劇場,28911730,鳩ヶ谷駅,オフィスビル,3515
千葉県,市川市,行徳,6,15,13,丸の内ブリックスクエア,55613470,幕張駅,店舗,3480
東京都,中央区,月島,3,30,12,東京シティビュー,78938790,池袋駅,アパート,1119
埼玉県,川口市,西川口,5,25,4,羽田イノベーションシティ,11300760,鳩ヶ谷駅,アパート,4312
埼玉県,川越市,新河岸,3,13,10,国立新美術館,58490020,熊谷駅,アパート,459
大阪府,大阪市北区,扇町,5,11,15,代々木ゼミナール本館,74614310,高槻駅,店舗,326
神奈川県,横須賀市,横須賀中央,8,25,5,明治生命館,67239090,海老名駅,マンション,466
大阪府,大阪市北区,梅田,10,16,16,霞が関ビルディング,21602930,大阪駅,店舗,2672
神奈川県,茅ヶ崎市,茅ヶ崎南,4,23,19,日比谷国際ビル,57137970,登戸駅,オフィスビル,233
埼玉県,川越市,古谷,3,11,16,国立代々木競技場,15377940,新所沢駅,一戸建て,57
神奈川県,川崎市,新百合ヶ丘,9,26,18,大手町タワー,40128400,武蔵小杉駅,店舗,3272
千葉県,千葉市,千葉中央,8,16,18,新宿三井ビルディング,36601180,鎌ヶ谷駅,一戸建て,619
愛知県,豊田市,浄水,6,19,5,明治生命館,79121780,岡崎駅,マンション,423
愛知県,豊田市,浄水,4,26,18,アーバンドック ららぽーと豊洲,95536720,三河安城駅,マンション,1820
神奈川県,藤沢市,藤沢,9,9,17,日本テレビタワー,27958720,藤沢駅,アパート,213
愛知県,一宮市,名鉄一宮,4,17,2,東京スクエアガーデン,27391960,刈谷駅,店舗,2960
愛知県,豊田市,浄水,8,21,3,永田町グリッド,53619120,名古屋駅,一戸建て,3550
埼玉県,越谷市,越谷,4,17,9,アークヒルズ仙石山森タワー,64257620,新座駅,店舗,2831
埼玉県,川口市,蕨,2,25,18,大手町タワー,59014960,北朝霞駅,店舗,568
東京都,千代田区,秋葉原,1,18,5,六本木ヒルズ森タワー,21942730,銀座駅,店舗,4556
福岡県,福岡市,天神,2,30,14,渋谷マークシティ,64433580,薬院駅,店舗,1023
千葉県,千葉市,千葉中央,8,23,1,文京シビックセンター,29826750,鎌ヶ谷駅,一戸建て,1646
神奈川県,横浜市,新横浜,10,16,1,東京ドームシティ,87984620,武蔵小杉駅,一戸建て,3157
福岡県,北九州市,黒崎,8,18,20,アトレ恵比寿,83800210,小倉駅,アパート,3954
愛知県,岡崎市,岡崎,4,16,14,新宿三井ビルディング,86529270,尾張一宮駅,一戸建て,1351
愛知県,春日井市,春日井,3,24,4,日本橋高島屋三井ビルディング,33625990,春日井駅,店舗,3639
千葉県,柏市,柏,4,7,6,東京ドームシティ,11442050,柏駅,店舗,4811
千葉県,松戸市,常盤平,1,14,19,赤坂Bizタワー,82021470,成田駅,マンション,3147
神奈川県,藤沢市,藤沢,4,29,4,新宿センタービル,75730710,桜木町駅,オフィスビル,86
福岡県,北九州市,小倉,10,17,13,新宿三井ビルディング,59565220,箱崎駅,オフィスビル,4299
福岡県,飯塚市,飯塚,4,11,20,ミッドタウン日比谷,39429100,小倉駅,マンション,1263
愛知県,一宮市,尾張大野,9,30,7,コレド室町,17653680,岡崎駅,店舗,3236
埼玉県,川越市,南古谷,5,1,6,東京ガーデンテラス紀尾井町,20278880,所沢駅,アパート,4866
千葉県,柏市,新柏,1,20,4,汐留シティセンター,37329570,新松戸駅,マンション,2133
愛知県,岡崎市,東岡崎,10,26,13,丸の内ブリックスクエア,95159120,高蔵寺駅,店舗,2396
埼玉県,越谷市,大袋,9,20,19,東京国際フォーラム,34057950,東松山駅,店舗,4423
福岡県,久留米市,善導寺,10,11,12,国立新美術館,60171980,赤坂駅,店舗,1612
神奈川県,横浜市,新横浜,7,15,10,虎ノ門ツインビルディング,97043170,相模大野駅,オフィスビル,3907
愛知県,豊田市,上豊田,9,1,15,品川インターシティ,31449520,瀬戸駅,アパート,3690
大阪府,吹田市,北千里,8,30,5,表参道ヒルズ,69751120,泉佐野駅,店舗,3922
大阪府,吹田市,江坂,8,10,12,赤坂インターシティAIR,93920220,北千里駅,店舗,4582
福岡県,飯塚市,飯塚,10,7,11,国立新美術館,30853680,黒崎駅,一戸建て,3511
神奈川県,横須賀市,久里浜,9,9,4,渋谷マークシティ,29380070,登戸駅,一戸建て,3019
東京都,中央区,銀座,5,24,16,二子玉川ライズ,72971760,渋谷駅,一戸建て,1384
埼玉県,さいたま市,与野,1,5,16,渋谷スクランブルスクエア,51142090,朝霞台駅,一戸建て,1931
埼玉県,所沢市,新所沢,6,1,20,天王洲アイル,63911300,春日部駅,マンション,1609
大阪府,豊中市,庄内,1,1,15,東京ドーム,94682360,泉佐野駅,店舗,888
千葉県,千葉市,稲毛,10,13,15,東京交通会館,57779920,船橋駅,店舗,2839
愛知県,春日井市,神領,10,10,14,銀座シックス,68965230,栄駅,一戸建て,4044
千葉県,船橋市,北習志野,8,9,3,渋谷マークシティ,75763030,東松戸駅,アパート,1974
愛知県,岡崎市,東岡崎,10,30,12,東京タワー,82082180,犬山駅,一戸建て,110
東京都,中央区,八丁堀,1,17,5,渋谷ストリーム,70020810,新宿駅,店舗,3710
埼玉県,さいたま市,大宮,2,16,15,羽田イノベーションシティ,12405770,和光市駅,オフィスビル,1947
福岡県,久留米市,善導寺,9,7,16,天王洲アイル,98547000,折尾駅,一戸建て,1845
福岡県,飯塚市,新飯塚,4,3,8,東京ミッドタウン,50600080,西新駅,一戸建て,527
千葉県,千葉市,稲毛,4,27,16,丸ビル,65011950,稲毛駅,アパート,2483
神奈川県,横須賀市,横須賀中央,2,11,10,ミッドタウン日比谷,46580570,関内駅,店舗,3938
愛知県,春日井市,春日井,9,11,12,国立競技場,82843640,岡崎駅,オフィスビル,1833
埼玉県,さいたま市,与野,6,6,2,豊洲市場,83247840,北越谷駅,オフィスビル,1625
埼玉県,越谷市,南越谷,3,15,20,霞が関ビルディング,10809410,鳩ヶ谷駅,アパート,1711
千葉県,船橋市,三咲,1,20,1,赤坂Bizタワー,57329760,柏駅,一戸建て,3915
大阪府,堺市,鳳,2,23,7,六本木ヒルズ森タワー,21408960,京橋駅,マンション,536
福岡県,北九州市,小倉,2,16,3,虎ノ門ツインビルディング,81602230,門司港駅,アパート,1147
千葉県,千葉市,幕張,4,9,14,国立代々木競技場,63089310,市川駅,一戸建て,2350
神奈川県,横須賀市,田浦,4,2,4,丸の内オアゾ,29824560,海老名駅,店舗,895
愛知県,名古屋市,千種,4,9,5,東京宝塚ビル,67369180,知立駅,マンション,3204
大阪府,堺市,鳳,3,3,12,羽田イノベーションシティ,49064630,江坂駅,店舗,4804
福岡県,飯塚市,飯塚,8,16,13,浜松町ビルディング,57128860,折尾駅,マンション,2781
埼玉県,越谷市,越谷,4,3,19,アークヒルズ,44395720,鳩ヶ谷駅,オフィスビル,3222
福岡県,大牟田市,銀水,8,6,18,豊洲市場,22665310,姪浜駅,オフィスビル,3876
神奈川県,藤沢市,江ノ島,1,6,10,日本橋三井タワー,76384030,茅ヶ崎駅,オフィスビル,1687
福岡県,北九州市,門司港,9,3,14,東京ソラマチ,34479860,小倉駅,オフィスビル,3042
東京都,新宿区,四谷,10,16,15,表参道ヒルズ,99437800,新橋駅,アパート,3969
千葉県,松戸市,新松戸,1,5,3,六本木グランドタワー,79380940,東松戸駅,マンション,2800
東京都,港区,六本木,5,13,15,永田町グリッド,26435370,八王子駅,オフィスビル,4901
愛知県,春日井市,春日井,7,24,13,東京宝塚ビル,25134840,刈谷駅,マンション,1712
千葉県,柏市,柏,3,7,20,新宿アイランドタワー,95752210,北習志野駅,オフィスビル,923
愛知県,春日井市,高蔵寺,10,14,2,東京ミッドタウン,80138940,三河安城駅,店舗,1352
東京都,千代田区,秋葉原,6,16,5,東京ドーム,40071830,代々木駅,アパート,3828
東京都,渋谷区,恵比寿,9,18,14,赤坂ACTシアター,17566620,代々木駅,マンション,2525
大阪府,大阪市北区,中之島,7,15,4,赤坂インターシティAIR,24923670,大阪駅,マンション,865
千葉県,市川市,妙典,9,10,14,東急キャピトルタワー,45954670,八柱駅,店舗,4239
大阪府,堺市,堺東,8,13,9,池袋サンシャインシティ,87541990,京橋駅,アパート,4133
神奈川県,横須賀市,衣笠,7,24,17,東京ワールドゲート,11394520,武蔵小杉駅,一戸建て,2108
埼玉県,越谷市,北越谷,10,9,15,コレド室町,37034910,南浦和駅,マンション,4706
東京都,中央区,日本橋,3,9,2,東京国際フォーラム,94054740,上野駅,オフィスビル,282
福岡県,北九州市,八幡,2,14,3,アトレ恵比寿,69114740,天神駅,オフィスビル,1518
埼玉県,さいたま市,浦和美園,5,14,8,六本木ヒルズ森タワー,85997830,東松山駅,一戸建て,4431
愛知県,名古屋市,栄,4,4,13,東京スカイツリー,47630240,新瀬戸駅,オフィスビル,1740
福岡県,大牟田市,銀水,10,16,14,新丸の内ビルディング,27934430,香椎駅,一戸建て,3036
愛知県,名古屋市,千種,3,28,2,汐留メディアタワー,92504720,岡崎駅,マンション,4061
福岡県,福岡市,香椎,1,17,14,浅草文化観光センター,94412980,小倉駅,店舗,840
千葉県,松戸市,八柱,7,15,12,秋葉原UDX,18996220,新松戸駅,オフィスビル,360
福岡県,大牟田市,諏訪,9,23,16,六本木ヒルズ森タワー,68897490,薬院駅,アパート,3589
大阪府,大阪市北区,扇町,4,30,3,東京ソラマチ,50148860,岸和田駅,マンション,2087
東京都,新宿区,西新宿,3,16,6,品川シーサイド,41620830,八王子駅,マンション,2194
千葉県,船橋市,西船橋,5,14,7,東京ガーデンテラス紀尾井町,16631110,千葉駅,アパート,933
愛知県,一宮市,木曽川,6,13,4,国立代々木競技場,38001990,豊橋駅,マンション,161
神奈川県,藤沢市,辻堂,9,11,10,国立新美術館,62918410,関内駅,マンション,3601
